text,label
,BUS30
6. Business Model,BUS30
"Illustrate your primary revenue model. Generally, investors prefer active revenue streams to passive revenue streams. They also, particularly, like recurring revenue streams like monthly and annual subscriptions. Note: Companies that make money via advertising revenue are the exceptions – not the rule. Include:",BUS30
,BUS30
,BUS30
,BUS30
7. Market Opportunity,BUS30
"Illustrate how much money you could, theoretically, make if you dominate your target market. Many investors like to see both a top-down and a bottom-up analysis. Although bottom-up is more difficult to calculate, including it will increase your credibility. Here’s an article on how to calculate it. Include:",BUS30
,BUS30
,BUS30
,BUS30
8. Competition,BUS30
"This might be the most important slide of the entire presentation. However, many founders struggle to clearly differentiate their products and services from the competition. Your offering must be SO compelling that users enthusiastically switch from existing solutions. In this slide, your objective is to provide 3-4 reasons why your solutions is superior to both direct and indirect competitors in the marketplace.",BUS30
Warning: Don't make the mistake of saying you have no competitors. Investors will assume your idea isn’t worth pursuing.,BUS30
"Of course, if you’re pioneering a new technology, your competition will be its traditional counterpart. Nonetheless, your job is to clearly compare the differences between the status quo and your game-changing solution. ",BUS30
"You have two options regarding layout: The""Gartner Magic Quadrant"" shown below or the “Competitive Grid” shown above.",BUS30
,BUS30
,BUS30
9. Growth,BUS30
"Here your objective is to demonstrate your knowledge of customer acquisition, customer retention and product innovation. Investors expect you to know a few key metrics:",BUS30
,BUS30
,BUS30
10. Traction,BUS30
,BUS30
"This is another important slide that showcases customers love your product and are happy to pay for it. The Traction Slide should seek to mitigate the three types of risk: Market risk, product risk and execution risk.It should suggest that your startup can replicate initial success at scale, decrease future acquisition costs and increase profitability.",BUS30
"Use key metrics[o] to illustrate traction, highlight trends and rates of change. An ideal scenario for investors, for example, might be customer and revenue doubling monthly coupled with declining customer acquisition costs. If you have yet to launch, use this slide to illustrate major milestones in product development, key hires and funding.",BUS30
,BUS30
,BUS30
11. Financials,BUS30
,BUS30
"How much money do you expect to make within the next 3 to 5 years? Do your best to estimate projected revenue, costs and expenses based on hitting your funding goals. Include:",BUS30
,BUS30
,BUS30
12. Team,BUS30
"Your Team Slide should mitigate investor concerns about execution. VCs love to see team members who have previously worked with successful startups, similar technologies and in similar markets. Check off as many of those boxes as you can. Note that your Team slide should include every important member of your extended team. This should include founders, key employees, advisors and investors (if any).",BUS30
"Creating an advisory board is a very simple way to add industry expertise to your ""team"" and is something that I strongly recommend For example, being able to drop a line like ""We have the CMO of the largest real estate brokerage in the world on our advisory board"" really boosts your credibility if your are focusing on a real estate opportunity.",BUS30
A second and equally important benefit of advisors is that they can quickly help you refine your business and product vision themselves and connect you to people they know who can do the same. You can also use advisors to add significant technology and startup experience and expertise to your team.,BUS30
,BUS30
,BUS30
13. Funding,BUS30
"Finally, it’s time to ask for the money you need. Include:",BUS30
,BUS30
,BUS30
14. Summary,BUS30
"After your presentation finale, end on a copy of your Summary Slide in the background. At this time, you will be fielding remaining questions that have yet to be answered.",BUS30
,BUS30
,BUS30
15. Appendix,BUS30
"Though not mandatory, some founders include an Appendix with supporting information positive PR, customer testimonials, technological details and/or in-depth financial information.",BUS30
"Remember: Creating a pitch deck isn’t a “one-time exercise.” Practice your pitch often in front of peers, advisors, and mentors. The clearer your messaging becomes, the faster you will close deals.",BUS30
,BUS30
Here are some of Ressi’s best pitch presentation tips:,BUS30
,BUS30
"Investors listen to a ton of pitches, so it is only natural for them to see (and be slightly irritated) by common mistakes.",BUS30
"One of the biggest pet peeves of Manu Kumar, of K9 Ventures, is when presenters say they will answer a question later: ",BUS30
,BUS30
"Over the years, we’ve spoken with several VCs who echo this sentiment — entrepreneurs must demonstrate flexibility, spontaneity and willingness to “jump off” script. You may be eager to talk about your team because it’s in the next slide. However, the investor sitting in front of you may care more about customer acquisition costs. Which is why practicing your pitch in low-stakes situations is SO important. The more familiar you become with addressing unexpected interruptions, the more confidently you will handle diversions in meetings that matters.",BUS30
Adeo Ressi (CEO of the Founder Institute) has something that frustrates him even more: ,BUS30
"See more investor pet peeves from funding experts Manu Kumar of K9 Ventures, James Cham of Bloomberg Beta, Adeo Ressi of the Founder Institute, and Alex Gurevich of Javelin Venture Partners below. ",BUS30
,BUS30
,BUS30
"The bottom-line: Delivering “the perfect pitch” takes practice. It’s normal to feel nervous before speaking to a room full of strangers. However, the more you do it, the easier it becomes. Founders who wanting to expedite progress should consider joining an intensive accelerator program.",BUS30
,BUS30
Below are some examples of decks and presentations — from both big and small names — that have resulted in funding. Notice the common elements we’ve discussed woven throughout the decks. And take note of any presentation strategies that might be advantageous to your startup:,BUS30
Mint.com,BUS30
"Founder: Aaron PatzerFunding: $31.8M in 5 rounds, acquired by Intuit",BUS30
,BUS30
,BUS30
Airbnb ,BUS30
"Founders: Brian Chesky, Joe Gebbia, Nathan BlecharczykFunding: $4.4B in 13 rounds (as of March 2019)",BUS30
"Should you study the pitch presentations of legends like Steve Jobs, Marc Benioff and Elon Musk? Absolutely. However, it’s often helpful to watch entrepreneurs who are less removed from your current stage of business. Below are some pitch presentations from up-and-coming Founder Institute Alumni:",BUS30
,BUS30
1. Pethub ,BUS30
"Pethub is an award-winning software company helping pet owners manage their pets’ lives online. PetHub ID tags are officially in-use by over 250 communities and 20 states in the U.S as their government or shelter issued ID tag, and 98% of PetHub recovered pets are reunited with family without ever entering a shelter. The company has raised several million dollars in funding and is on pace to track and protect over 1 million animals by 2021. Pethub is also a Seattle FI alum, founded by Tom Arnold.",BUS30
,BUS30
2. Spaceishare,BUS30
"SpaceiShare, a Toronto FI company founded by Sarah Selhi, is a marketplace that allows people to offer their empty physical spaces as storage for people who need the room. They secured a sizable deal on on Dragon's Den, and have been featured across Canadian press.",BUS30
,BUS30
"And here is Sarah's presentation on Dragon's Den, where she delivers a modified pitch and fields a very different set of questions: ",BUS30
,BUS30
3. Bridgr,BUS30
"Bridgr, a Montreal FI company founded by Amira Boutouchent, is an online platform that helps small and medium-sized manufacturing companies find and collaborate with validated and qualified independent experts to solve their operations issues, allowing them to grow quickly without the need for expensive and time-consuming consultancies.",BUS30
,BUS30
4. Climber,BUS30
"Climber is a Lisbon FI company founded by Mário Mouraz. They build revenue management software that takes data from external sources, such as weather, air traffic, online shopping, and claims regarding a hotel’s reputation. They cross analyze all of that with information from the hotel user, in order to automatically calculate what to sell and how much to sell it for.",BUS30
,BUS30
,BUS30
,BUS30
The Founder Institute is here to support ambitious Founders that want to change the world.,BUS30
"The Founder Institute is the world’s most proven network to turn ideas into fundable startups, and startups into global businesses. Since 2009, our structured accelerator programs have helped over  6,000 entrepreneurs raise over $1.75BN in funding. Based in Silicon Valley and with chapters across 95 countries, our mission is to empower communities of talented and motivated people to build impactful technology companies worldwide.",BUS30
Primary Navigation,BUS30
"Want to adapt books like this? Learn more about how Pressbooks supports open practices.				




",BUS30
Book Contents Navigation,BUS30
Foreword,BUS30
Jan Schaffer,BUS30
Preface from the Editors,BUS30
Michelle Ferrier and Elizabeth Mays,BUS30
Praise for Media Innovation and Entrepreneurship,BUS30
New Additions for Fall 2018,BUS30
New Additions for Fall 2019,BUS30
New Additions for Fall 2020,BUS30
Developing the Entrepreneurial Mindset,BUS30
Mike Green,BUS30
Digital Media on the Rise,BUS30
Mark J. Scarp,BUS30
The Uncertain Future of Media’s Unicorns,BUS30
Melanie Faizer,BUS30
Deadlines or Depth? The Model of ‘Slow News’ Startups,BUS30
Melanie Faizer,BUS30
Taking Risks and Building Resilience on the Path to Innovation,BUS30
Dana Coester,BUS30
From the Field: Q&A With a Young Innovator,BUS30
Dana Coester,BUS30
What’s an Intrapreneur? And How Do I Become One?,BUS30
Interview with Ebony Reed,BUS30
Looking Ahead,BUS30
Ideation,BUS30
Michelle Ferrier,BUS30
Looking Ahead,BUS30
Customer Discovery for Content and Tech Startups,BUS30
Ingrid Sturgis,BUS30
Looking Ahead,BUS30
Business Models for Content and Technology Plays,BUS30
Geoffrey Graybeal,BUS30
From the Field: Refining Our Business Plan Was the Key to Attracting Our First Investor,BUS30
Dalton Dellsperger,BUS30
From the Field: Making Student Media Sustainable,BUS30
Gretchen Macchiarella,BUS30
From the Field: Writing a Business Plan & Budget,BUS30
John Dille,BUS30
Nonprofit Model Development,BUS30
Jake Batsell,BUS30
From the Field: The Knoxville Experiment,BUS30
Coury Turczyn,BUS30
Exercise: Being a Media Nonprofit,BUS30
Freelancing as Entrepreneurship and Consulting as Business Models,BUS30
Elizabeth Mays,BUS30
From the Field: How to Get and Keep Gigs as a Freelance Journalist,BUS30
Georgann Yara,BUS30
From the Field: How I Ditched the 9 to 5 and Built a Business I Could Live With,BUS30
Lori Benjamin,BUS30
Looking Ahead,BUS30
Startup Funding: Introduction,BUS30
CJ Cornell,BUS30
Startup Funding: Why Funding,BUS30
CJ Cornell,BUS30
Startup Funding: Traditional Venture Funding,BUS30
CJ Cornell,BUS30
Startup Funding: Nontraditional Funding Sources,BUS30
CJ Cornell,BUS30
Startup Funding: Crowdfunding,BUS30
CJ Cornell,BUS30
"From the Field: Friends, Family and Fools Funding",BUS30
Francine Hardaway,BUS30
From the Field: The Journey from Listening to Leader,BUS30
Chris Dell,BUS30
From the Field: Your Kickstarter Campaign is a Story,BUS30
Interview with Daniel Zayas by Elizabeth Mays,BUS30
Looking Ahead,BUS30
Pitching Ideas,BUS30
Mark Poepsel,BUS30
From the Field: The Perfect Pitch,BUS30
Amy Eisman,BUS30
Looking Ahead,BUS30
Marketing Your Venture to Audiences,BUS30
Elizabeth Mays,BUS30
Marketing Your Venture: Engagement and Analytics,BUS30
Jessica Pucci,BUS30
Looking Ahead,BUS30
Product Management for Journalists,BUS30
From the Field:Process Engineering Helped Build a Replicable Model for Two Startup News Sites,BUS30
Entrepreneurship Abroad: Cultural and International Perspectives and Challenges,BUS30
Betty Tsakarestou,BUS30
From the Field: Technology and Media Entrepreneurship in China,BUS30
Hodan Osman,BUS30
From the Field: Addis Insight - A Niche Site for the Ethiopian Diaspora,BUS30
Abel Asrat and Rediat Belehu,BUS30
From the Field: A Short History of Silicon Valley,BUS30
Francine Hardaway,BUS30
Game (Test Sandbox),BUS30
Glossary,BUS30
Acknowledgements,BUS30
About the Authors,BUS30
Cover Credits,BUS30
License & Remixing Information,BUS30
Accessibility Assessment,BUS30
Review Statement,BUS30
Errata,BUS30
Instructor Resources,BUS30
Help to Expand This Book!,BUS30
Copy Editing Statement,BUS30
"To pitch a journalism or media product is to make the case for your idea to an individual or group in exchange for financial or some other kind of support. Pitching is a dynamic process that requires you to be of two minds. On the one hand, you need to believe in the value of your idea and in your team’s ability to make it viable. On the other hand, you must also demonstrate a capacity for change and perseverance as your idea evolves over time in response to feedback from potential customers and investors. Your pitch must demonstrate that you have a great product idea, that you have done market and competition research, and that you are willing and able to scrap key features, even ones you love, if feedback from customers or investors makes it necessary. Developing a pitch is more than coming up with a great idea for a media product and shopping it around to investors. It involves ideation, key feature identification and testing, market research, design and branding work, redesign, and pitch performance practice. At the heart of the pitch is your promise to develop a successful product, even though you may not yet know all of the variables that will influence its success.",BUS30
"Let’s freeze the conversation for a second for students who are not necessarily interested in being entrepreneurs. “Why should we study ideation, research, project management, and pitching?” You should study this because every job involves pitching. Journalists make story pitches every day and to a growing extent they are expected to provide evidence of engagement on previous similar stories to justify their pitch. For example, they may need to pull data from CrowdTangle or Chartbeat to show that stories about a particular bridge under construction garner a lot of attention and engagement. Stories may not seem sexy at first, but engagement numbers can help a journalist close the deal.",BUS30
"If nothing else, you will need to pitch yourself and your skills on the job market. If you treat your career search as a product to be managed, you will ideate potential outcomes in terms of workplace, location, and job description. You will go into job interviews with a well-researched plan, good-looking supplementary materials including your resume website, and you will know what the competition looks like. You need to understand what your “key features” are as a potential employee. You can refine those and present them well and find a good market fit for the product, i.e. your professional labor.",BUS30
"Studying how to ideate and to pitch is also fun. It’s not a lecture series or a knowledge dump. It’s a guided tour through a process of self discovery, group relationship building, and global market awareness. Even if you never take your own new endeavor to market, learning how to ideate and to pitch could and should change your life.",BUS30
"Pitching can happen formally or informally. An elevator pitch, a short two- or three-sentence description of your idea, is a pitch format you might use to describe your project to a stranger in casual conversation or to a potential team member at a meetup. It is similar to the log line in a film project. This chapter is designed for students who are developing formal pitches for ideas seeking seed funding. For best results, you should already be acquainted with the lean startup model of product development prior to creating your pitch. Developed by Eric Ries,[1] The Lean Startup stresses the value of customer development as its central thesis. In essence, the book states that the business of lean startups is to learn. You learn by practicing a sort of customer service science. Lean startup teams hypothesize about what product changes might work, and they test those changes on real consumers, a.k.a. users, so that the product is always improving, always moving closer to perfect product market fit. It’s an ideal that’s not often attained, but that’s the goal, and you need to be able to explain that you understand this concept and can put it into practice.",BUS30
"You may have begun (for real or in mock exercises) by self-funding the development of a prototype, a.k.a. bootstrapping, and you should have continued through the “friends and family” stage of financing where you have sought funding via personal networks, i.e. your parents, friends, perhaps a rich uncle.",BUS30
"This chapter assumes you have worked through the ideation phase of product development (see chapter on Ideation) and that you’ll continue to make improvements to your product even as you work on your pitch. Your team demonstrates leadership and change management skills by showing how your product has already evolved in response to customer development efforts. Customer development includes doing essential market research, testing features, and gathering and analyzing design feedback. The best pitches impart these nuts-and-bolts elements by demonstrating that your team has learned from this feedback and also convey the team’s passion, ingenuity, and perseverance. When your team has done as much product development and customer development as you can afford, or as time allows during a class session, you build toward a “big ask,” which may be a meeting with investors, a presentation to a startup competition committee, or a pitch contest, etc. This chapter focuses on preparing you for that big presentation, but it also briefly covers preparing an elevator pitch and writing a prospectus paper.",BUS30
"To narrow the scope of the discussion, this chapter identifies six presentation elements that serve as a starting point for pitch preparation. They are:",BUS30
"These are the must-haves for a pitch about ten to fifteen minutes long. Each may be represented by one or more slides if you are crafting a slide deck or by one or more sections if you are writing a prospectus. Depending on your product, presentation type, preferences, and priorities, you should feel free to customize around this framework.",BUS30
"Slide 4: To establish product-market fit, you first have to have a market. The Airbnb pitch deck notes that at the time there were 630,000 users on couchsurfing.com and that there were 17,000 temporary housing listings on Craigslist in San Francisco and New York combined in one week. Thus, there existed a large potential traveler pool and a large pool of people with rooms for lease, but these groups were in need of a unified platform.",BUS30
"Slide 5: The fifth slide details the size of the market and Airbnb’s share, showing potential for growth.",BUS30
"Slide 6: Completing the case for product-market fit, this slide shows the attractive user interface and provides a mini-narrative for how the product works.",BUS30
Slide 7: This slide shows four years’ of revenue totals as simple math: 10 million + trips x $20 average fee = about $200 million in revenues. This is evidence of product-market fit and whets the investor’s appetite for potential future earnings.,BUS30
Slide 8: This slide shows how Airbnb has already beaten its competition to own the market for certain events and to create partnerships.,BUS30
"Slide 9: Here, investors get the full picture of the competition.",BUS30
Slide 10: The financial expectations are pretty well established by this point and were explained verbally. What this shows are the barriers to competition expected to help preserve Airbnb’s position and future earnings and growth expectations.,BUS30
"This chapter focuses first on developing the six presentation elements. When the time comes to build slide decks, the order, breakdown, and prioritization of elements is up to you. You are not expected to finish your product before developing your pitch. Rather, it is strongly suggested that you develop your pitch and your product in parallel.",BUS30
"Your presentation slide deck should begin with a memorable brand image. It can be a logo representing your product in a stylized way, or it could be a screen grab of your product if you are particularly happy with the design. It’s often a good idea to create a tagline as well. It helps drive the message home for investors who want to know right away if they see a marketable idea. From a persuasive standpoint, all you are trying to establish with your first slide is that this is a great product that many people need that’s easy to understand and remember.",BUS30
"Your brand introduction should be kept to one slide and should set the aesthetic tone for the rest of the presentation. Establish a color palette and stick with it. If you’re going to use design elements such as borders, background colors, or shapes, use them in your introductory slide. Go with clean, simple design elements. If something doesn’t add to your presentation, leave it out and keep it out in subsequent slides.",BUS30
"As you present the brand image and tagline visually, your talking points should include a brief description of the team. Don’t feel the need to introduce every member right away. The project manager should introduce the concept and herself or himself, and as the presentation moves on other members of the team can introduce themselves when it’s their turn to speak. There’s no correct way to divide up presentation responsibilities. Different courses and competitions will set requirements for the minimum and maximum number of speakers or group members you should have. Just be sure to keep the introduction slide focused and brief. Whenever it is your turn to speak, identify yourself. Mention your role and very briefly discuss your background as it pertains to your role on this project. Holding off on team introductions will keep your pitch moving.",BUS30
"You should start working on branding at the same time you begin product ideation. Establishing your brand identity is like selecting your best photo and description for a dating app. Put only your best face forward. Give investors a single, interesting, lasting image that they can connect to the rest of your pitch.",BUS30
"Every product solves a problem. Many entrepreneurial media products solve problems that users didn’t know they had. It’s your job to help the investor identify a media-related problem that many people share and then clearly explain in a story or short anecdote how your product solves the problem or, if it is not an outright solution, how it alleviates pain associated with the problem. Look at other problem-solution narratives in advertising and in corporate origin stories for examples of how to craft a quick, compelling problem-solution narrative.",BUS30
Classic Problem-Solution Narratives,BUS30
